BusID,RouteID,Latitude,Longitude,Speed,stop_id,stop_lat,stop_lon,distance_to_stop,hour_of_day,day_of_week,is_weekend,ETA_seconds
1707,AUB1,42.921005,-76.584412,26.0,12119,42.9207,-76.5845,34.63620323573288,19,1,0,4.8
2215,OSW10,43.454739,-76.543182,24.0,16183,43.4543,-76.5435,55.148100026500686,19,1,0,8.27
2210,OSW1D,43.452261,-76.497562,20.0,9705,43.4519,-76.4974,42.1966683665259,19,1,0,7.6
691,OSW46,43.228458,-76.297737,16.0,15558,43.2288,-76.298,43.59044286920769,19,1,0,9.81
1707,AUB2,42.933282,-76.558545,16.0,12238,42.9334,-76.5589,31.80539507131508,19,1,0,7.16
2215,OSW10,43.451481,-76.549828,9.0,16182,43.4514,-76.55,16.577280710285805,19,1,0,6.63
1700,OSW11,43.446941,-76.534492,39.0,15534,43.4454,-76.5355,189.65722615481718,19,1,0,17.51
1800,AUB1,42.915744,-76.576116,13.0,12124,42.9157,-76.5761,5.059585142765107,10,2,0,1.4
2216,AUB2,42.944038,-76.550362,22.0,12187,42.9443,-76.5508,46.098012747510275,10,2,0,7.54
1801,AUB3,42.950932,-76.554169,7.0,12355,42.9509,-76.5545,27.244459312828134,10,2,0,14.01
2215,OSW1D,43.455016,-76.47513,3.0,16005,43.4549,-76.4752,14.078130741961239,10,2,0,16.89
2211,OSW2D,43.448901,-76.514291,20.0,16105,43.4485,-76.5141,47.158044106951635,10,2,0,8.49
694,OSW46,43.190174,-76.242363,32.0,18132,43.1896,-76.2391,272.8052477431587,10,2,0,30.69
2411,ROME2,43.221408,-75.476667,13.0,18055,43.2214,-75.4765,13.597424198508957,10,2,0,3.77
2414,ROME5,43.218353,-75.452849,11.0,14269,43.2183,-75.4528,7.107826790092453,10,2,0,2.33
2413,ROME6,43.21756,-75.418289,19.0,14084,43.2166,-75.4168,161.28404045825283,10,2,0,30.56
2215,OSW1D,43.462543,-76.474388,22.0,9739,43.4628,-76.4718,211.3751469021941,10,2,0,34.59
2216,AUB2,42.936279,-76.556858,16.0,12160,42.9365,-76.5569,24.789420156621723,10,2,0,5.58
1801,AUB3,42.941277,-76.559982,21.0,12339,42.941,-76.56,30.807420187454454,10,2,0,5.28
2211,OSW2D,43.452691,-76.509102,24.0,17724,43.4527,-76.5089,16.38038558815025,10,2,0,2.46
694,OSW46,43.170506,-76.244004,30.0,8703,43.1705,-76.2443,24.07850987931473,10,2,0,2.89
2414,ROME5,43.23077,-75.439278,26.0,17947,43.2306,-75.4382,89.58508506971972,10,2,0,12.4
2413,ROME6,43.22514,-75.407433,18.0,14091,43.2249,-75.4069,50.85302443708634,10,2,0,10.17
1801,AUB3,42.93443,-76.566306,9.0,12274,42.9351,-76.5663,74.43289308841946,10,2,0,29.77
694,OSW46,43.14724,-76.230331,37.0,17834,43.1473,-76.2304,8.714147156392501,10,2,0,0.85
2411,ROME2,43.235668,-75.502434,9.0,12247,43.2374,-75.5032,202.2301880191226,10,2,0,80.89
